"label"	"text"
"positive"	"Come out and celebrate Eid with your fellow UMCP Alumni, Insh'Allah this Wednesday at Busboys and Poets, in Hyattsville, from 5-8pm!"
"positive"	"@gulianarancic so we get to see it in Ireland tomorrow on E News. Can't wait. Congrats on the little bun in the oven #amazeballs x"
"positive"	"@jesselalejo Yeah so much has changed for the 6th. Lots of combat fighting. And inventory is different. Did you do Raccoon City?"
"positive"	"We are so excited to celebrate International Women's Friendship Month with you! Be there tomorrow in Eleanor Searle at 5:30 PM :)"
"positive"	"my mom and I may have many differences, but we will always agree when it comes to Ed Sheeran..  #EdSheeran #perfection"
"positive"	"@gulianarancic so we get to see it in Ireland tomorrow on E News. Can't wait. Congrats on the little bun in the oven #amazeballs x"
"positive"	"Is it wrong that Justin Bieber is growing on me and may even like him???? #Beliebers"
"positive"	"Want to start reading Paper Towns tomorrow. My sister told me the movie was awesome!"
"positive"	"One other possibility: Hawaii. Chow may be done with BYU and Hawaii may have better options from teams on probation for their Dec 7 game."
"positive"	"The Blue Jays are playing very well. They're scoring runs and David Price is pitching like David Price. 3-0 Jays with one out in the 5th"
"positive"	"Totally worth watching Nirvana's 1st interview w/ MTV, if only for @KristNovoselic's banter towards the end. https://t.co/9cbfD8OzcW"
"positive"	"I like how u mentioned COWBOYS 1st RT @DaRealMrC NFL NETWORK tlk abt the sme teams evryday! Cowboys, Jets, Steelers, Ravens, Colts, Packers"
"positive"	"I thought they may censor it like in Bleach and sometimes in Naruto. Major props to Toei Animation for letting it stay uncensored."
"positive"	"@HiIAmEbalyn Kuttay\u002cyou have an exam tomorrow yes?All the best :D do well and don\u2019t think about Zayn and all :P focus and shit :P bye <3"
"positive"	"World Music Festival returns -- free but smaller: The good news: All events at the 14th annual World Music Festi... http://t.co/kjN5fqYO"
"positive"	"To be honest, I just can't wait for Frank Ocean on Saturday"
"positive"	"At 12:00 AM - Hey Yakub, Happy birthday... May God give you a long life   *awkward silence*"
"positive"	"Congratulations to my brother @polesel93! Now you can drive yourself to work Saturday mornings!!!! Yahoo!"
"positive"	"Club Pulse was fun af. Had a blast. Heading to the crib. Relaxing tomorrow & getting into a lil trouble with friends. #GladIDontHaveParents"
"positive"	"The Tigers ended last season with Max Scherzer, Justin Verlander and David Price in rotation. They will start Randy Wolf on Sunday. Wow."
"positive"	"Nike Air Force 1 'USA' 30th Anniversary - See the full gallery on Posterous As Nike continues to celebrate... http://t.co/Ves91LvZ"
"positive"	"Staying positive today with the talented George Harrison. Bad day? The sun always rises the next#herecomesthesun  https://t.co/wNvP3PdO1M"
"positive"	"We\u2019re excited about our CineMonkeys session before the Lorax next Wed 31st - perfect half term entertainment! CM @ 12.30pm\u002c Lorax at 1.30pm"
"positive"	"Wishes this happy occasion on Eid, a very Happy Eid Mubarak!\" May Allah bring you joy, happiness, peace &amp;... http://t.co/pkJgoyEdgh"
"positive"	"Good luck and lots of energy to @cderycke, who is competing in the Ironman Wales this Sunday!! Come on Chris!"
"positive"	"BU grads are the 7th most employable in US after Harvard\u002c Yale\u002c Stanford\u002c MIT\u002c Columbia\u002c and Princeton. #hopethisistrue http://t.co/yDcczEqP"
"positive"	"Happy Labor Day! Or as Scott Walker would put it, \"Get back to work, assholes, or I'll bring in cheaper workers who'll work *every* Monday.\""
"positive"	"thank you ABS-CBN and BCWMH for the fantastic episode today. Tomorrow again. I can\u2019t wait to... http://t.co/ve5Brqh1"
"positive"	"The Stones on a Thursday morning make Adie happy. Keith Richards\u2019 stash would make me happier."
"positive"	"Hulk Hogan overheard the news of Back in Black's 25th anniversary and did a double take to ensure it wasn't another leaked sex tape of his."
"positive"	"Photoset: Last night was my last Saturday night of summer, and I spent it at the Zac Brown Band concert at... http://t.co/bYBZaMFYir"
"positive"	"I liked a @YouTube video https://t.co/bclsIBZyST Justin Bieber Full Interview October 4 -2015 (Selena Gomez and What do you mean )"
"positive"	"@MZHemingway True fact: Christianity based on a Man who wins by DYING. We call the day of His death Good Friday."
"positive"	"Someone runs the wrong route on 3rd and 8, but Andy Lee saves it with a MONSTER punt. Special teams to the rescue?"
"positive"	"So Drake's \"If You're Reading...\" is the 3rd best album of the year, behind Kendrick and Adele (haha). They might as well hand me the Grammy"
"positive"	"Been listening to Dom all day and then he drops a surprise mixtape. I'll listen to Frank Ocean tomorrow for u lot"
"positive"	"One of my all time favorite songs, George Harrison Live Bangladesh August 1st 1971 ( the year I was born :o ) https://t.co/2oSaa7DnPT"
"positive"	"The 1st Black woman to ever host the Academy Awards was=>@WhoopiGoldberg! I want to be like her! #BlackHistoryMoment"
"positive"	"Aslam _ o _ Alikum every one Happy 3rd day of Eid"
"positive"	"Someday I'm going to compose a book of the comments we receive on our Monday morning Browns posts. It'd still be better prose than Twilight."
"positive"	"Crossfire Hurricane, amazing film and finally some proper music on Saturday night TV!! Oh to have seen the Stones live back then!"
"positive"	"Impressed with Siri. Asked to set an alarm for tomorrow at 8 AM. She clarified whether tomorrow meant today since just after midnight."
"positive"	"Getting an iPhone 5 tomorrow and going to the zac brown concert... Can I look forward to any more? #excited"
"positive"	"@CharlieBlythe i'm going on Big Brother's Bit On The Side next Tuesday! I thought you would appreciate this haha :)"
"positive"	"Alright Randy Orton's body is the 8th wonder of the world"
"positive"	"Adventure time with Aaliyah tomorrow yipeee cant wait :\u2019) andami naming pupuntahan bwahaha"
"positive"	"Very amaZAYN voice to the 1st verse man ZAYN MALIK! @zaynmalik xx"
"positive"	"(Unwired View) Samsung SCH-S759 with Windows Phone gets Wi-Fi, Bluetooth certified, may be headed to China Telecom http://t.co/dehpvlDN"
"positive"	"Ooohh Yeah I just remembered... I'M GOING TO RAW TOMORROW!!!!!!! UNDERTAKER AND BROCK LESNAR!!!!!!!!! #RAWMinneapolis"
"positive"	"ICYMI: #BlueJays David Price earned his 100th career victory on Saturday against the #Orioles (7.0 IP, 3 H, 1 ER, 4 BB, 8 K)"
"positive"	"I will consider Arsenal to have the potential to win Premier League this season if only they beat Manchester United tomorrow."
"positive"	"A1 Live in Cebu at the Waterfront Cebu Hotel and Casino on November 23 http://t.co/BL41iSUa #CebuFinest"
"positive"	"Lol who wants Dunkin tomorrow because you know I'm getting some"
"positive"	"I think that Caitlyn Jenner may be the only woman in the world who is more emotional than I am. ROFLMAO! I love how genuine she is. #IAmCait"
"positive"	"What is true of the individual will be tomorrow true of the whole nation if individuals will but refuse to lose heart and hope. ~ Gandhi"
"positive"	"Tim Tebow may be availible ! Wow Jerry \u002c what the heck you waiting for ! http://t.co/a7z9FBL4"
"positive"	"I liked a @YouTube video http://t.co/Imh6XoQUqD Nicki Minaj - Blazin' ft. Kanye West with lyrics - PINK FRIDAY"
"positive"	"@caplannfl - Another example of a good college player who had a great week at Senior Bowl to ease concerns about toughs & get into 1st round"
"positive"	"I may never become First Horse, but I tore London a new one at the Summer Olympics, and no one can ever take that away from me. #TeamUSA"
"positive"	"Dustin Johnson quadrupled bogeyed the 1st hole? At least he got it over with quick this time"
"positive"	"The Red Sox may be in last place in their division, but at least they are still the best of the last place teams."
"positive"	"MYLUK-S have worked really hard for tomorrow's bake sale..come find us @ Eid in the Park (Maxwell park) tomorrow. :) all proceeds go2charity"
"positive"	"Anyone else already getting goosebumps about how loud goodnight Irene will be at 2:55 tomorrow afternoon #blackthornendmyrealhome"
"positive"	"Nice relaxing night in the woods, now off to Green Bay tomorrow! #GoPackGo"
"positive"	"Watch NBC Meet the Press: Carly Fiorina - Watch NBC Meet the Press: Carly Fiorina: We Should Not Repeal the 14th A... http://t.co/njY9fPbYCv"
"positive"	"Watching Naruto shippuden at work cause it's Friday and I don't care."
"positive"	"You know it's been a great weekend when you spend  $50 in dunkin donuts on fri, sat, and sunday."
"positive"	"Really love that Yankees are putting a beat down on the Red Sox! It's only the 4th inning!"
"positive"	"Chicago Bulls.. :-) And yes, Im watching it.. Dreams to come true.. :-) :-) :-) to make it more sweeter, 2nd http://t.co/0cW73Ka3"
"positive"	"Omg Just read naruto special comic where naruto declared as the 7th hokage. #narutohokage"
"positive"	"Massive reception for Paul Dunne on the packed 18th. Such a mature and composed head on such young shoulders. Great round of 66. #bbcgolf"
"positive"	"Next Thursday is going to be the greatest day ever! Both my teachers already cancelled class and Tom Brady leads the Pats out of the tunnel"
"positive"	"Wonderful trilogy of chef-studio dinners - first one is tomorrow night with the chef from Paley's Place.  http://t.co/yPWHMAvX"
"positive"	"Song #2 Friday by Ice Cube Just came on and automatically started rapping it haha white ppl aren't ready!"
"positive"	"MICCA Tomorrow. My support for the Marching Band is ridiculous. #needstostop #butilovethemsomuch #Itssoearly #EyesWithPride #maybenextyear"
"positive"	"pretty accomplished that i was the 16th comment on Justin Bieber's insta pic"
"positive"	"@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)"
"positive"	"Just finished a great photo/video shoot for a Nuit Blanche fashion exhibit. It'll be on display at the Pantages hotel on October 1st."
"positive"	"Excited for Halloween tomorrow I am going to be Jake from State Farm"
"positive"	"If Kris Bryant becomes Chris Davis are #Cubs fans mad? I would take that. Davis this season 6th in homers leads the AL in RBI."
"positive"	"En route back to Turin after a perfect day out in Milan. Looking forward to a chilled day tomorrow and the #U2 gig tomorrow night. #U2ieTour"
"positive"	"My dad and sister will try out Daredevil series tomorrow. They really liked Ant-Man when I recommended it to them...  HEHEHEHEHE!"
"positive"	"We all went to see Rise of the Planet of the Apes last night...I actually enjoyed it a lot! That chimp Caesar was a great actor. Seriously."
"positive"	"@TheReidReport & if the POTUS wins 2nd term isn\u2019t that NJ gov gonna go back to bashing him when his state is in better shape (2/2)"
"positive"	"Netflix?? RT @Pink_Dagger: I'm watching the ORIGINAL X-Men cartoons I used to watch on Saturday Mornings....#throwback #iamhappyagain"
"positive"	"Cate Blanchett Sighting: New York, New York/ 8th Annual Museum of Modern Art Film Benefit, honoring the actress https://t.co/AXElLrqRmU"
"positive"	"ive been with nirvana since sat it was a date every night"
"positive"	"Oh and did I mention how I'm meeting CHRIS EVANS IN JANUARY?! So much to look forward to the next couple of months &lt;3"
"positive"	"I'm about to see Shawn on October 16 and I'm super excited"
"positive"	"Tomorrow night we play David Bowie music at the inauguration of his famous exhibition in the Groninger Museum -... https://t.co/Z2dGx8dV7M"
"positive"	"@Pikeyessex just in case you haven\u2019t had enough we have plenty of Birthday Cake ready for you tomorrow!"
"positive"	"Looking forward to seeing plenty of people out tomorrow, who are showing their respects at the Remembrance Service at Leeds Town Hall"
"positive"	"@NerdBlurt @tom_howarth and the Sox beat the Yankees today so I can smile!"
"positive"	"Went and saw Paper Towns, got Baskin Robins, sat in the car and talked about life for 4 hours, got home at 3 AM. I'm gonna miss Shannon."
"positive"	"A very young Dobber had the privilege of watching Frank Gifford providing commentary on Monday Night Football. Much respect #RIPFrankGifford"
"positive"	"Ironman Wales on channel 4 tomorrow 6.35am - sky plus it - or do as I am excited to watch it real life with a cuppa!! #ironman #ironmanwales"
"positive"	"Should've bought the pink Minnie Mouse ears when we went to Disney World. They would've been perfect for tomorrow."
"positive"	"@KayBurley #DogLover Friday. My g'daughters, Jessica and Katie, with Denzel and Daisy. Love them to bits X http://t.co/xCGETZzVIU"
"positive"	"Great progression in teacher trainees at Bridging the Gap this weekend - well done! See u tomorrow at One More Breath at Nat Christie!"
"positive"	"Time for Miss USA!!! Go @RealMissTNUSA !!!! Titans fans she cheers for your team on the sidelines every Sunday... time to cheer for her now!"
